skin_type,age,climate,concern1,concern2,morning_cleanser,morning_toner,morning_serum,morning_moisturizer,morning_sunscreen,evening_cleanser,evening_toner,evening_serum,evening_treatment,evening_moisturizer,weekly_exfoliant,weekly_mask
Oily,25,hot_humid,Acne,Oily,Salicylic Acid Cleanser,Witch Hazel Toner,Niacinamide Serum,Oil-Free Gel Moisturizer,Matte Finish SPF 50,Foaming Cleanser,BHA Toner,Niacinamide Serum,Benzoyl Peroxide Treatment,Lightweight Gel Moisturizer,Salicylic Acid Exfoliant,Clay Mask
Oily,35,cold_dry,Aging,Oily,Gentle Foaming Cleanser,Alcohol-Free Toner,Niacinamide Serum,Lightweight Moisturizer,SPF 50,Double Cleanse,Hydrating Toner,Retinol Serum,AHA Treatment,Light Moisturizer,Glycolic Acid Exfoliant,Charcoal Mask
Dry,28,cold_dry,Dryness,Aging,Cream Cleanser,Hydrating Toner,Hyaluronic Acid Serum,Rich Moisturizer,Hydrating SPF 30,Oil Cleanser,Hydrating Toner,Peptide Serum,Retinol Treatment,Night Cream,Lactic Acid Exfoliant,Hydrating Mask
Dry,45,mild,Aging,Dryness,Hydrating Cleanser,Rosewater Toner,Vitamin C Serum,Rich Moisturizer,SPF 50,Cleansing Balm,Rosewater Toner,Retinol Serum,Facial Oil,Night Cream,Lactic Acid Exfoliant,Overnight Mask
Combination,30,mild,Acne,Aging,Gentle Gel Cleanser,Balancing Toner,Niacinamide Serum,Lightweight Moisturizer,SPF 30,Foaming Cleanser,BHA/AHA Toner,Retinol Serum,Spot Treatment,Balancing Moisturizer,AHA/BHA Exfoliant,Clay Mask
Combination,22,hot_humid,Oily,Acne,Gel Cleanser,Balancing Toner,Zinc Serum,Oil-Control Moisturizer,Matte SPF 50,Double Cleanse,Exfoliating Toner,Niacinamide Serum,BHA Treatment,Gel Moisturizer,BHA Exfoliant,Purifying Mask
Normal,32,mild,Brightening,Aging,Gentle Cleanser,Hydrating Toner,Vitamin C Serum,Antioxidant Moisturizer,SPF 30,Micellar Water,Hydrating Toner,Retinol Serum,AHA Treatment,Night Cream,Glycolic Acid Exfoliant,Brightening Mask
Normal,50,cold_dry,Aging,Dryness,Hydrating Cleanser,Hydrating Toner,Peptide Serum,Rich Moisturizer,SPF 30+,Oil Cleanser,Hydrating Mist,Retinol Serum,Peptide Treatment,Rich Night Cream,PHA Exfoliant,Hydrating Mask
Sensitive,28,mild,Redness,Sensitive,Ultra-Gentle Cleanser,Soothing Toner,Centella Serum,Calming Moisturizer,Mineral SPF 30,Micellar Water,Soothing Toner,Centella Serum,Azelaic Acid,Soothing Night Cream,Enzyme Exfoliant,Oat Mask
Sensitive,40,hot_humid,Aging,Sensitive,Gentle Cream Cleanser,Alcohol-Free Toner,Bakuchiol Serum,Lightweight Moisturizer,Mineral SPF 50,Gentle Cleanser,Calming Toner,Bakuchiol Serum,Centella Treatment,Soothing Moisturizer,Rice Enzyme Exfoliant,Soothing Mask 